,B,G,R
100008.0,142.0,199.0,230.0
100023.0,126.0,176.0,228.0
100053.0,152.0,200.0,236.0
100078.0,105.0,177.0,219.0
100090.0,150.0,194.0,223.0
100122.0,142.0,188.0,219.0
100123.0,112.0,183.0,217.0
100128.0,115.0,187.0,234.0
100134.0,117.0,132.0,148.0
100143.0,114.0,186.0,233.0
100150.0,114.0,159.0,216.0
100157.0,110.0,151.0,174.0
100187.0,130.0,192.0,240.0
100204.0,135.0,146.0,166.0
100237.0,102.0,151.0,183.0
100259.0,136.0,200.0,230.0
100263.0,138.0,179.0,241.0
100288.0,148.0,203.0,234.0
100295.0,136.0,201.0,245.0
100322.0,110.0,166.0,207.0
100335.0,103.0,105.0,115.0
100367.0,129.0,182.0,233.0
100380.0,95.0,152.0,191.0
100382.0,120.0,143.0,175.0
100383.0,144.0,200.0,249.0
100402.0,132.0,208.0,255.0
100428.0,131.0,196.0,234.0
100434.0,147.0,206.0,246.0
100444.0,84.0,153.0,186.0
100445.0,92.0,143.0,175.0
100458.0,89.0,185.0,225.0
100474.0,106.0,130.0,154.0
100479.0,163.0,203.0,232.0
100506.0,98.0,151.0,184.0
100513.0,94.0,177.0,232.0
100520.0,106.0,183.0,239.0
100541.0,94.0,173.0,224.0
100561.0,101.0,170.0,213.0
100571.0,109.0,178.0,221.0
100601.0,101.0,169.0,198.0
100623.0,108.0,150.0,193.0
100672.0,121.0,181.0,223.0
100673.0,132.0,190.0,249.0
100724.0,162.0,220.0,255.0
100727.0,92.0,158.0,206.0
100730.0,131.0,194.0,238.0
100740.0,106.0,115.0,112.0
100744.0,128.0,187.0,219.0
100765.0,163.0,181.0,204.0
100774.0,140.0,183.0,216.0
100801.0,67.0,99.0,112.0
100813.0,138.0,193.0,232.0
100821.0,120.0,121.0,131.0
100822.0,129.0,173.0,214.0
100836.0,98.0,128.0,169.0
100852.0,169.0,164.0,191.0
100859.0,127.0,169.0,206.0
100861.0,121.0,184.0,228.0
100867.0,102.0,177.0,215.0
100887.0,141.0,191.0,213.0
100894.0,127.0,186.0,212.0
100938.0,109.0,120.0,147.0
100951.0,105.0,146.0,168.0
100986.0,114.0,153.0,185.0
101007.0,135.0,155.0,173.0
101061.0,131.0,186.0,217.0
101074.0,135.0,176.0,209.0
101092.0,93.0,175.0,222.0
101127.0,85.0,156.0,220.0
101133.0,110.0,114.0,108.0
101135.0,107.0,117.0,124.0
101140.0,147.0,153.0,172.0
101151.0,105.0,114.0,118.0
101164.0,133.0,180.0,234.0
101166.0,139.0,153.0,195.0
101181.0,102.0,166.0,230.0
101232.0,150.0,204.0,245.0
101239.0,114.0,151.0,189.0
101244.0,145.0,164.0,201.0
101246.0,107.0,195.0,231.0
101247.0,119.0,190.0,240.0
101251.0,123.0,175.0,212.0
101275.0,124.0,176.0,216.0
101283.0,149.0,170.0,201.0
101286.0,110.0,150.0,185.0
101290.0,136.0,200.0,231.0
101291.0,124.0,199.0,238.0
101296.0,117.0,185.0,230.0
101298.0,134.0,184.0,214.0
101306.0,110.0,122.0,140.0
101307.0,174.0,157.0,170.0
101315.0,133.0,164.0,209.0
101324.0,152.0,149.0,164.0
101325.0,128.0,195.0,228.0
101355.0,128.0,193.0,248.0
101358.0,158.0,172.0,194.0
101371.0,99.0,178.0,229.0
101374.0,122.0,131.0,141.0
101375.0,126.0,179.0,230.0
101427.0,141.0,178.0,204.0
101469.0,151.0,203.0,250.0
101493.0,124.0,170.0,204.0
101501.0,124.0,120.0,125.0
101502.0,115.0,190.0,234.0
101518.0,115.0,194.0,233.0
101538.0,150.0,172.0,224.0
101548.0,104.0,175.0,219.0
101549.0,122.0,143.0,175.0
101563.0,165.0,197.0,220.0
101564.0,112.0,158.0,182.0
101572.0,135.0,189.0,230.0
101589.0,75.0,127.0,187.0
101591.0,126.0,186.0,222.0
101595.0,110.0,143.0,189.0
101597.0,144.0,202.0,238.0
101599.0,125.0,193.0,240.0
101623.0,98.0,175.0,224.0
101627.0,135.0,208.0,246.0
101651.0,102.0,174.0,228.0
101654.0,139.0,190.0,240.0
101660.0,94.0,161.0,210.0
101666.0,146.0,109.0,95.0
101685.0,125.0,184.0,224.0
101695.0,162.0,166.0,177.0
101701.0,124.0,169.0,202.0
101718.0,106.0,144.0,192.0
101754.0,149.0,206.0,238.0
101756.0,110.0,193.0,231.0
101762.0,135.0,192.0,224.0
101774.0,109.0,167.0,202.0
101787.0,133.0,154.0,186.0
101788.0,128.0,210.0,255.0
101798.0,135.0,189.0,242.0
101804.0,149.0,158.0,167.0
101807.0,126.0,150.0,180.0
101816.0,141.0,203.0,233.0
101848.0,124.0,134.0,144.0
101854.0,221.0,173.0,161.0
101858.0,79.0,168.0,229.0
101875.0,151.0,222.0,242.0
101893.0,81.0,132.0,182.0
101941.0,121.0,139.0,186.0
101943.0,155.0,207.0,248.0
101955.0,145.0,170.0,190.0
101971.0,145.0,182.0,208.0
101980.0,86.0,161.0,235.0
101991.0,135.0,131.0,142.0
101995.0,140.0,200.0,246.0
101997.0,168.0,174.0,193.0
102000.0,85.0,157.0,187.0
102015.0,169.0,229.0,255.0
102021.0,84.0,136.0,189.0
102027.0,124.0,149.0,175.0
102040.0,137.0,161.0,183.0
102046.0,128.0,190.0,230.0
102047.0,121.0,170.0,196.0
102113.0,103.0,114.0,122.0
102115.0,108.0,178.0,218.0
102159.0,123.0,161.0,179.0
102174.0,156.0,201.0,235.0
102176.0,139.0,206.0,255.0
102182.0,113.0,193.0,234.0
102243.0,133.0,152.0,189.0
102260.0,167.0,213.0,230.0
102271.0,142.0,193.0,225.0
102295.0,101.0,197.0,227.0
102328.0,115.0,160.0,181.0
102347.0,143.0,208.0,246.0
102371.0,134.0,193.0,219.0
102391.0,143.0,128.0,126.0
102402.0,173.0,180.0,219.0
102406.0,120.0,169.0,207.0
102407.0,113.0,154.0,177.0
102422.0,137.0,139.0,149.0
102433.0,107.0,142.0,162.0
102471.0,147.0,202.0,245.0
102474.0,172.0,142.0,153.0
102481.0,152.0,210.0,239.0
102513.0,188.0,236.0,254.0
102556.0,108.0,148.0,177.0
102595.0,173.0,200.0,227.0
102602.0,111.0,187.0,229.0
102616.0,164.0,152.0,142.0
102642.0,135.0,198.0,232.0
102649.0,165.0,187.0,229.0
102657.0,93.0,114.0,136.0
102699.0,245.0,179.0,160.0
102701.0,124.0,188.0,218.0
102729.0,161.0,216.0,255.0
102731.0,111.0,169.0,204.0
102735.0,129.0,195.0,224.0
102742.0,165.0,202.0,230.0
102743.0,112.0,179.0,228.0
102765.0,127.0,165.0,200.0
102770.0,104.0,171.0,210.0
102799.0,136.0,209.0,247.0
102804.0,159.0,220.0,254.0
102808.0,133.0,182.0,238.0
102812.0,111.0,193.0,228.0
102822.0,128.0,180.0,226.0
102834.0,135.0,179.0,210.0
102839.0,115.0,199.0,227.0
102843.0,135.0,184.0,228.0
102863.0,120.0,185.0,229.0
102871.0,98.0,140.0,209.0
102874.0,131.0,187.0,216.0
102919.0,120.0,151.0,176.0
102928.0,91.0,183.0,232.0
102933.0,120.0,195.0,241.0
102964.0,80.0,130.0,182.0
102974.0,125.0,192.0,223.0
102977.0,122.0,184.0,238.0
102982.0,92.0,142.0,178.0
102990.0,129.0,176.0,207.0
102998.0,142.0,194.0,241.0
103019.0,140.0,153.0,167.0
103037.0,121.0,151.0,186.0
103040.0,121.0,181.0,233.0
103072.0,132.0,194.0,232.0
103075.0,127.0,171.0,200.0
103132.0,105.0,134.0,171.0
103159.0,148.0,203.0,240.0
103167.0,138.0,191.0,228.0
103191.0,136.0,192.0,227.0
103224.0,135.0,186.0,236.0
103233.0,141.0,177.0,217.0
103246.0,86.0,132.0,190.0
103255.0,130.0,148.0,159.0
103260.0,106.0,197.0,236.0
103318.0,148.0,180.0,215.0
103323.0,141.0,174.0,200.0
103348.0,85.0,168.0,219.0
103353.0,144.0,174.0,199.0
103354.0,183.0,197.0,196.0
103356.0,161.0,194.0,239.0
103373.0,116.0,175.0,221.0
103386.0,228.0,157.0,153.0
103393.0,108.0,156.0,192.0
103444.0,138.0,204.0,245.0
103445.0,112.0,180.0,217.0
103491.0,108.0,150.0,187.0
103500.0,163.0,212.0,244.0
103503.0,133.0,163.0,182.0
103520.0,106.0,170.0,211.0
103523.0,152.0,206.0,236.0
103533.0,121.0,173.0,209.0
103547.0,122.0,152.0,177.0
103561.0,134.0,176.0,218.0
103577.0,105.0,173.0,216.0
103592.0,154.0,149.0,170.0
103610.0,148.0,207.0,246.0
103626.0,146.0,198.0,235.0
103645.0,141.0,205.0,239.0
103646.0,115.0,175.0,221.0
103707.0,145.0,198.0,225.0
103718.0,170.0,206.0,222.0
103731.0,129.0,201.0,243.0
103750.0,161.0,188.0,214.0
103751.0,129.0,172.0,215.0
103754.0,119.0,144.0,184.0
103758.0,59.0,131.0,195.0
103769.0,123.0,188.0,226.0
103787.0,102.0,153.0,203.0
103818.0,143.0,189.0,220.0
103819.0,135.0,197.0,233.0
103824.0,152.0,200.0,242.0
103882.0,131.0,184.0,211.0
103900.0,143.0,192.0,224.0
103902.0,108.0,184.0,232.0
103904.0,130.0,191.0,223.0
103907.0,146.0,203.0,254.0
103950.0,113.0,155.0,184.0
103955.0,120.0,182.0,228.0
103974.0,128.0,189.0,223.0
103979.0,129.0,181.0,222.0
103999.0,111.0,183.0,231.0
104001.0,121.0,113.0,113.0
104008.0,93.0,180.0,242.0
104020.0,136.0,138.0,148.0
104040.0,147.0,159.0,195.0
104041.0,138.0,187.0,227.0
104096.0,151.0,154.0,169.0
104110.0,127.0,192.0,243.0
104131.0,125.0,184.0,229.0
104141.0,114.0,139.0,165.0
104143.0,134.0,201.0,232.0
104159.0,67.0,172.0,215.0
104173.0,153.0,198.0,231.0
104196.0,101.0,200.0,232.0
104212.0,99.0,146.0,214.0
104216.0,170.0,137.0,134.0
104222.0,139.0,195.0,236.0
104234.0,141.0,148.0,165.0
104243.0,154.0,215.0,241.0
104253.0,145.0,189.0,236.0
104267.0,99.0,118.0,161.0
104268.0,121.0,185.0,239.0
104279.0,122.0,170.0,198.0
104281.0,115.0,169.0,204.0
104287.0,110.0,180.0,220.0
104310.0,205.0,199.0,194.0
104314.0,135.0,185.0,213.0
104317.0,118.0,172.0,235.0
104354.0,106.0,185.0,226.0
104365.0,126.0,177.0,203.0
104387.0,162.0,168.0,209.0
104389.0,115.0,147.0,176.0
104398.0,118.0,191.0,243.0
104414.0,96.0,164.0,209.0
104420.0,103.0,139.0,157.0
104422.0,118.0,202.0,227.0
104440.0,157.0,172.0,191.0
104460.0,110.0,152.0,194.0
104478.0,138.0,152.0,171.0
104516.0,143.0,202.0,247.0
104536.0,113.0,161.0,197.0
104540.0,145.0,191.0,209.0
104589.0,94.0,136.0,179.0
104602.0,118.0,185.0,212.0
104608.0,143.0,195.0,232.0
104610.0,126.0,185.0,230.0
104611.0,203.0,232.0,247.0
104612.0,136.0,207.0,251.0
104624.0,108.0,175.0,220.0
104703.0,141.0,203.0,249.0
104709.0,143.0,179.0,225.0
104721.0,120.0,143.0,169.0
104723.0,61.0,106.0,140.0
104751.0,123.0,166.0,193.0
104764.0,189.0,154.0,141.0
104769.0,139.0,200.0,240.0
104784.0,185.0,185.0,233.0
104788.0,159.0,174.0,190.0
104819.0,107.0,157.0,199.0
104830.0,163.0,220.0,246.0
104920.0,149.0,198.0,236.0
104929.0,93.0,107.0,113.0
104934.0,149.0,204.0,249.0
104962.0,141.0,184.0,211.0
104977.0,175.0,223.0,241.0
104988.0,127.0,202.0,246.0
104991.0,130.0,184.0,214.0
105009.0,103.0,173.0,220.0
105014.0,147.0,202.0,245.0
105020.0,59.0,130.0,150.0
105028.0,102.0,182.0,235.0
105056.0,167.0,189.0,231.0
105069.0,145.0,185.0,233.0
105070.0,122.0,151.0,172.0
105082.0,117.0,180.0,218.0
105088.0,141.0,184.0,205.0
105092.0,125.0,197.0,251.0
105117.0,127.0,142.0,158.0
105165.0,96.0,162.0,203.0
105201.0,132.0,191.0,230.0
105216.0,122.0,189.0,216.0
105218.0,167.0,189.0,224.0
105221.0,132.0,167.0,193.0
105257.0,125.0,169.0,216.0
105258.0,144.0,199.0,236.0
105279.0,122.0,172.0,194.0
105314.0,142.0,160.0,171.0
105331.0,110.0,157.0,209.0
105334.0,127.0,171.0,202.0
105354.0,71.0,143.0,220.0
105364.0,123.0,178.0,223.0
105365.0,114.0,145.0,170.0
105381.0,86.0,137.0,193.0
105417.0,142.0,188.0,229.0
105447.0,230.0,199.0,200.0
105459.0,232.0,161.0,147.0
105497.0,165.0,217.0,255.0
105500.0,136.0,124.0,122.0
105507.0,164.0,218.0,253.0
105513.0,107.0,131.0,155.0
105529.0,118.0,184.0,225.0
105539.0,108.0,127.0,148.0
105541.0,137.0,198.0,232.0
105572.0,124.0,149.0,193.0
105576.0,200.0,225.0,227.0
105581.0,116.0,197.0,232.0
105613.0,104.0,151.0,178.0
105631.0,115.0,174.0,213.0
105648.0,130.0,210.0,239.0
105653.0,130.0,202.0,232.0
105700.0,153.0,204.0,237.0
105743.0,115.0,202.0,234.0
105755.0,129.0,213.0,225.0
105757.0,134.0,189.0,226.0
105758.0,122.0,185.0,213.0
105762.0,99.0,139.0,168.0
105764.0,114.0,173.0,242.0
105772.0,117.0,191.0,227.0
105774.0,121.0,180.0,206.0
105787.0,125.0,177.0,213.0
105797.0,126.0,201.0,240.0
105846.0,76.0,147.0,184.0
105868.0,81.0,155.0,209.0
105870.0,188.0,206.0,199.0
105879.0,142.0,202.0,238.0
105881.0,104.0,133.0,154.0
105900.0,135.0,190.0,217.0
105902.0,135.0,169.0,193.0
105925.0,107.0,140.0,160.0
105940.0,111.0,193.0,234.0
105973.0,141.0,210.0,229.0
105983.0,139.0,192.0,225.0
105984.0,149.0,199.0,221.0
105986.0,120.0,156.0,180.0
105991.0,146.0,113.0,97.0
106000.0,124.0,198.0,234.0
106018.0,83.0,147.0,202.0
106028.0,228.0,182.0,158.0
106039.0,96.0,143.0,170.0
106040.0,152.0,182.0,207.0
106044.0,105.0,181.0,233.0
106049.0,194.0,145.0,131.0
106059.0,101.0,166.0,205.0
106079.0,162.0,141.0,143.0
106105.0,167.0,207.0,236.0
106124.0,109.0,121.0,127.0
106147.0,166.0,152.0,163.0
106165.0,113.0,182.0,222.0
106170.0,123.0,153.0,182.0
106176.0,100.0,142.0,187.0
106199.0,163.0,210.0,238.0
106205.0,126.0,172.0,206.0
106206.0,143.0,194.0,227.0
106230.0,124.0,190.0,239.0
106263.0,235.0,220.0,247.0
106275.0,138.0,142.0,153.0
106298.0,116.0,188.0,252.0
106355.0,110.0,121.0,135.0
106357.0,146.0,100.0,76.0
106388.0,121.0,196.0,235.0
106390.0,122.0,155.0,181.0
106409.0,130.0,179.0,229.0
106429.0,94.0,146.0,186.0
106432.0,179.0,215.0,253.0
106463.0,206.0,203.0,198.0
106471.0,132.0,178.0,226.0
106499.0,125.0,197.0,237.0
106514.0,132.0,195.0,246.0
106544.0,108.0,129.0,144.0
106612.0,71.0,130.0,162.0
106621.0,119.0,146.0,166.0
106646.0,116.0,179.0,217.0
106652.0,150.0,199.0,213.0
106664.0,103.0,112.0,121.0
106670.0,101.0,139.0,171.0
106689.0,145.0,207.0,237.0
106694.0,167.0,213.0,244.0
106705.0,127.0,164.0,190.0
106725.0,97.0,180.0,225.0
106739.0,110.0,183.0,243.0
106749.0,123.0,149.0,163.0
106773.0,143.0,205.0,251.0
106777.0,118.0,145.0,165.0
106781.0,152.0,187.0,213.0
106784.0,92.0,163.0,200.0
106788.0,129.0,179.0,239.0
106800.0,174.0,217.0,244.0
106803.0,99.0,158.0,190.0
106812.0,94.0,161.0,210.0
106819.0,168.0,212.0,253.0
106829.0,118.0,181.0,219.0
106841.0,127.0,175.0,217.0
106882.0,186.0,211.0,237.0
106885.0,131.0,180.0,196.0
106886.0,118.0,158.0,186.0
106896.0,117.0,187.0,227.0
106919.0,138.0,180.0,222.0
106923.0,134.0,195.0,235.0
106931.0,147.0,176.0,197.0
106944.0,115.0,146.0,177.0
106973.0,101.0,173.0,227.0
106986.0,115.0,172.0,233.0
107012.0,128.0,192.0,223.0
107019.0,93.0,129.0,167.0
107055.0,153.0,149.0,161.0
107064.0,141.0,195.0,226.0
107084.0,139.0,125.0,126.0
107106.0,154.0,186.0,222.0
107117.0,121.0,189.0,232.0
107143.0,138.0,199.0,225.0
107159.0,158.0,151.0,156.0
107193.0,96.0,183.0,223.0
107197.0,121.0,163.0,208.0
